00401071#0|movsx ecx, [eax]|R1@[0040a002]=52      |eax:0040a002, ebx:7ffdd000, ecx:00000044, edx:00000002, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a002, ebx:7ffdd000, ecx:00000052, edx:00000002, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a002, ebx:7ffdd000, ecx:00000052, edx:00000002, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=00000002|eax:0040a002, ebx:7ffdd000, ecx:00000052, edx:00000002, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a002, ebx:7ffdd000, ecx:00000052, edx:00000002, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=00000003|eax:0040a002, ebx:7ffdd000, ecx:00000052, edx:00000003, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a002, ebx:7ffdd000, ecx:00000052, edx:00000003, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a002, ebx:7ffdd000, ecx:00000052, edx:00000003, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=00000003|eax:0040a000, ebx:7ffdd000, ecx:00000052, edx:00000003, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a003]=46      |eax:0040a003, ebx:7ffdd000, ecx:00000052, edx:00000003, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a003, ebx:7ffdd000, ecx:00000046, edx:00000003, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a003, ebx:7ffdd000, ecx:00000046, edx:00000003, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=00000003|eax:0040a003, ebx:7ffdd000, ecx:00000046, edx:00000003, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a003, ebx:7ffdd000, ecx:00000046, edx:00000003, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=00000004|eax:0040a003, ebx:7ffdd000, ecx:00000046, edx:00000004, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a003, ebx:7ffdd000, ecx:00000046, edx:00000004, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a003, ebx:7ffdd000, ecx:00000046, edx:00000004, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=00000004|eax:0040a000, ebx:7ffdd000, ecx:00000046, edx:00000004, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a004]=68      |eax:0040a004, ebx:7ffdd000, ecx:00000046, edx:00000004, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a004, ebx:7ffdd000, ecx:00000068, edx:00000004, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a004, ebx:7ffdd000, ecx:00000068, edx:00000004, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401078#0|mov edx, [ebp-4]|R4@[0012ff2c]=00000004|eax:0040a004, ebx:7ffdd000, ecx:00000068, edx:00000004, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107b#0|add edx, 1||eax:0040a004, ebx:7ffdd000, ecx:00000068, edx:00000004, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040107e#0|mov [ebp-4], edx|W4@[0012ff2c]=00000005|eax:0040a004, ebx:7ffdd000, ecx:00000068, edx:00000005, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401081#0|jmp 40106b||eax:0040a004, ebx:7ffdd000, ecx:00000068, edx:00000005, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106b#0|mov eax, [ebp+8]|R4@[0012ff38]=0040a000|eax:0040a004, ebx:7ffdd000, ecx:00000068, edx:00000005, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
0040106e#0|add eax, [ebp-4]|R4@[0012ff2c]=00000005|eax:0040a000, ebx:7ffdd000, ecx:00000068, edx:00000005, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401071#0|movsx ecx, [eax]|R1@[0040a005]=6c      |eax:0040a005, ebx:7ffdd000, ecx:00000068, edx:00000005, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401074#0|test ecx, ecx||eax:0040a005, ebx:7ffdd000, ecx:0000006c, edx:00000005, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
00401076#0|jz 401083||eax:0040a005, ebx:7ffdd000, ecx:0000006c, edx:00000005, edi:00000000, esi:00000000, ebp:0012ff30, esp:0012ff2c
